Administration of Daman& Diu ,,,,,,,,,,,,,
Electricity Department ,,,,,,,,,,,,,
Daman,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date:-,25/8/2016,,,,,,,,,,,,
,,,,,,,,,,,,,
Hours ,Allocation ,Demand,Daily Staggering,,,,,,,,,,
,,,,,,,,,,,,,
1,280,294,0 MW,,,,,,,,,,
2,280,294,0 MW,,,,,,,,,,
3,281,282,0 MW,,,,,,,,,,
4,281,283,0 MW,,,,,,,,,,
5,283,283,0 MW,,,,,,,,,,
6,283,281,0 MW,,,,,,,,,,
7,283,284,0 MW,,,,,,,,,,
8,283,273,0 MW,,,,,,,,,,
9,312,296,0 MW,,,,,,,,,,
10,312,303,0 MW,,,,,,,,,,
11,312,298,0 MW,,,,,,,,,,
12,298,304,0 MW,,,,,,,,,,
13,298,293,0 MW,,,,,,,,,,
14,297,301,0 MW,,,,,,,,,,
15,297,303,0 MW,,,,,,,,,,
16,297,302,0 MW,,,,,,,,,,
17,297,300,0 MW,,,,,,,,,,
18,297,296,0 MW,,,,,,,,,,
19,278,295,0 MW,,,,,,,,,,
20,280,262,0 MW,,,,,,,,,,
21,280,281,0 MW,,,,,,,,,,
22,280,282,0 MW,,,,,,,,,,
23,292,280,0 MW,,,,,,,,,,
24,293,277,0 MW,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total Energy Consumption,6.97041, ,Mus,,,,,,,,,,
