ENTRY_DATE,TIME_SRNO,MSEB_T,MSEB_H,MSEB_G,MSEB_TOTAL,WIND,CPP/IPP Gas,CS_SHARE,CS_RECE,TPCL_SCH,TPCL_EXCH,LOAD_SHEDDING,MSEDCL_DEMAND,MSEDCL_LSDEMAND,TPCLREL_DEMAND,STATE_DEMAND,FREQ,CPP/IPP THM,SOLAR,
2016-11-29 00:00:00.0,1,5249,127,328,5704,265,0,4129,3992,-597.102,-799,0,12846,12846,1862,14708,49.93,3684,0,
2016-11-29 00:00:00.0,2,5212,136,309,5657,266,0,3642,3620,-584.63,-622,0,12394,12394,1669,14063,49.94,3473,0,
2016-11-29 00:00:00.0,3,5209,121,329,5659,284,0,3751,3730,-554.95,-567,0,12542,12542,1616,14158,49.94,3436,0,
2016-11-29 00:00:00.0,4,5222,191,310,5723,219,0,3561,3897,-547.292,-532,0,12736,12736,1578,14314,49.93,3429,0,
2016-11-29 00:00:00.0,5,5206,441,321,5968,183,0,3801,3995,-528.32,-525,0,13115,13115,1574,14689,49.94,3494,0,
2016-11-29 00:00:00.0,6,5342,376,310,6028,142,0,4807,4781,-576.372,-627,0,14064,14064,1677,15741,49.91,3740,0,
2016-11-29 00:00:00.0,7,5883,823,320,7026,148,0,5244,5158,-556.692,-716,0,15482,15482,1832,17314,49.9,3865,1,
2016-11-29 00:00:00.0,8,6273,1536,320,8129,134,0,5279,5583,-681.067,-611,0,17345,17345,2027,19372,49.91,4092,18,
2016-11-29 00:00:00.0,9,6341,1662,333,8336,99,0,5318,5524,-732.401,-637,0,17486,17486,2204,19690,49.94,4077,87,
2016-11-29 00:00:00.0,10,6454,1922,312,8688,63,0,5440,5413,-754.614,-895,0,17457,17457,2584,20041,49.93,4048,140,
2016-11-29 00:00:00.0,11,6636,1878,308,8822,42,0,5435,5286,-838.221,-994,0,17397,17397,2761,20158,49.94,4073,168,
2016-11-29 00:00:00.0,12,6567,1543,295,8405,23,0,5494,5482,-912.587,-1026,0,17132,17132,2851,19983,49.93,4068,180,
2016-11-29 00:00:00.0,13,6565,1233,290,8088,28,0,5458,5582,-881.799,-1011,0,16949,16949,2793,19742,49.91,4070,192,
2016-11-29 00:00:00.0,14,6599,1286,293,8178,44,0,5368,5412,-838.609,-938,0,16918,16918,2714,19632,49.94,4048,174,
2016-11-29 00:00:00.0,15,6555,1351,301,8207,55,0,5387,5402,-853.844,-976,0,16880,16880,2782,19662,49.93,4041,151,
2016-11-29 00:00:00.0,16,6650,1682,293,8625,61,0,5404,5357,-870.397,-1015,0,17125,17125,2770,19895,49.96,3988,109,
2016-11-29 00:00:00.0,17,6643,1645,309,8597,53,0,5388,5301,-831.079,-928,0,17047,17047,2750,19797,49.9,3971,53,
2016-11-29 00:00:00.0,18,6781,1785,297,8863,97,0,5394,5263,-842.189,-933,0,17241,17241,2707,19948,49.91,3945,6,
2016-11-29 00:00:00.0,19,6773,1581,308,8662,126,0,5567,5655,-901.819,-1015,0,17370,17370,2739,20109,49.97,3942,0,
2016-11-29 00:00:00.0,20,6500,776,301,7577,134,0,5667,5443,-764.379,-1110,0,15924,15924,2665,18589,49.95,3880,0,
2016-11-29 00:00:00.0,21,5929,940,304,7173,105,0,5521,5407,-651.021,-1111,0,15227,15227,2455,17682,49.93,3653,0,
2016-11-29 00:00:00.0,22,5907,1752,305,7964,117,0,4700,4889,-576.496,-1175,0,15323,15323,2327,17650,49.99,3528,0,
2016-11-29 00:00:00.0,23,5897,631,315,6843,147,0,4964,4694,-669.111,-1049,0,14227,14227,2133,16360,49.95,3592,0,
2016-11-29 00:00:00.0,24,5842,288,317,6447,165,0,4268,4218,-630.407,-955,0,13295,13295,2038,15333,49.98,3420,0,
